Open,High,Low,Close,Volume
133.37,133.47,131.6,132.47,53924527
132.8,133.15,130.74,131.37,38124392
131.67,132.99,131.07,132.56,36563947
132.34,132.79,131.6,132.39,31785760
131.04,131.04,129.81,129.93,63399641
129.49,131.31,129.49,130.84,50585246
130.03,130.48,129.07,130.05,52323424
126.7,129.32,126.51,128.56,70860435
128.18,128.57,125.28,126.21,89625830
128.01,128.39,127.1,127.85,44314644
128.84,128.87,127.51,127.76,45916019
129.41,130.01,129.2,129.74,33507325
129.76,129.89,129.18,129.3,25004548
128.96,130.0,128.33,129.64,31166222
130.46,131.08,129.68,130.9,33519480
131.22,131.86,130.95,131.29,23528386
131.57,131.92,130.94,130.94,22090103
130.89,131.9,130.45,131.86,24306331
132.58,133.15,132.37,132.7,24243176
132.63,132.96,132.46,132.51,27226688
133.45,133.76,132.83,133.15,30779148
133.48,133.66,132.88,133.24,20976108
132.95,133.83,132.94,133.24,22176452
133.85,134.0,133.12,133.66,23931173
133.39,133.93,132.67,133.32,34344617
133.88,133.99,132.32,132.86,29003065
133.01,133.44,132.14,132.47,24849999
131.71,131.98,130.99,131.45,30741486
132.09,132.18,130.97,131.45,28355303
130.69,131.76,130.27,131.56,34872821
131.78,132.37,131.41,132.12,33790732
130.53,130.8,129.51,130.53,42399577
130.75,131.35,130.44,131.28,25527881
132.88,133.39,132.8,133.16,29889358
,,,133.74,0
133.66,133.85,133.2,133.62,13979197
134.05,135.06,133.91,134.79,24832710
135.05,135.87,134.5,135.63,27488924
135.42,136.29,135.41,136.04,25481373
136.14,136.57,135.98,136.54,20677005
137.1,137.17,135.95,136.25,22871971
135.94,136.18,135.04,135.71,26996370
135.7,135.73,134.23,134.86,33406376
134.09,134.94,133.02,133.63,40893236
134.88,135.62,133.68,134.2,46857613
134.2,135.11,133.98,134.72,24822446
135.15,136.11,135.01,135.87,24203196
135.64,135.68,133.82,134.45,33239071
134.07,135.36,133.4,135.1,35584467
135.17,135.34,133.57,134.04,35020855
133.54,134.61,132.97,133.19,32100444
132.7,133.35,132.12,133.17,38035702
133.26,134.5,132.95,134.38,25317362
134.79,135.02,133.94,134.66,22525820
134.31,134.52,133.36,133.67,36056988
131.99,132.46,131.59,132.04,36661220
132.42,132.73,131.7,131.95,30909405
131.38,132.94,131.38,132.37,28638927
132.0,133.23,131.78,133.01,33733520
,,,133.54,0
134.78,134.92,133.84,134.89,35984098
134.52,134.6,131.76,131.85,45487819
131.98,132.23,130.96,131.69,47042049
130.16,131.42,130.08,130.4,47653494
130.09,130.36,128.87,129.05,36406785
129.67,130.07,128.85,128.85,35800162
128.77,129.18,128.18,128.4,46172785
128.77,129.93,128.46,129.4,34130585
128.83,128.93,127.26,127.56,48646625
127.89,128.24,127.05,127.67,42209420
128.88,129.77,128.82,129.32,32356616
128.26,128.65,126.68,127.02,58675501
127.09,127.97,126.33,127.28,66773546
127.91,127.94,126.62,127.02,53421634
126.6,127.97,126.59,127.7,34301988
128.34,129.7,128.19,129.42,40944155
129.05,129.81,128.59,128.7,38969944
127.09,128.37,126.19,128.29,71105811
128.28,128.37,126.62,126.81,46734124
126.91,128.43,126.65,127.94,32680965
128.43,129.63,128.27,129.61,40274343
130.16,130.93,129.72,130.75,53004191
131.15,132.18,130.99,131.97,37863568
,,,133.96,0
133.8,134.07,133.39,133.71,37800283
133.48,134.14,133.11,133.94,28284288
135.13,135.7,134.88,135.46,34373652
133.84,134.44,133.39,134.4,43893555
132.73,133.17,131.66,131.96,43906760
131.69,132.78,131.36,131.43,46226099
132.11,133.22,131.52,131.85,45341611
132.17,132.77,130.68,130.94,45959101
131.64,131.87,130.78,131.74,47432371
131.06,131.28,129.63,130.58,44982924
131.35,132.89,131.31,132.78,37213390
133.08,133.15,132.42,132.65,23708080
133.39,134.81,133.14,134.52,45988109
134.5,134.72,133.76,134.61,22949044
133.33,134.49,133.16,133.83,29304475
133.75,133.96,133.03,133.36,24547552
132.58,132.59,130.43,130.6,51722673
130.62,131.76,130.01,130.16,39631184
128.9,130.54,128.36,129.05,66254029
130.95,130.96,127.53,128.71,62287734
127.77,128.5,125.49,125.49,68408133
125.66,126.3,123.54,126.21,77953786
124.42,124.62,120.06,120.18,115977597
121.9,122.07,116.87,119.98,148649784
116.98,118.34,112.08,112.26,143151350
114.25,117.49,110.27,117.37,151964090
115.18,116.28,111.96,112.35,135389984
113.45,118.92,112.85,117.28,104588853
118.55,119.22,117.28,118.15,64114613
119.24,120.74,119.0,120.55,56149713
119.34,120.68,118.31,119.56,54731359
120.31,121.2,118.72,119.67,43197692
116.5,116.64,113.39,114.61,88643661
112.91,115.87,112.5,112.68,80390466
115.12,115.23,112.41,112.73,58657733
113.17,116.54,112.58,116.46,65298215
116.18,118.24,115.92,118.13,45888408
118.8,119.4,115.87,116.31,60216045
115.66,118.51,113.85,118.04,59570790
119.52,121.42,119.48,121.38,39759253
120.86,122.42,119.94,121.62,49826540
122.48,123.51,121.31,122.06,65533346
122.25,123.4,120.78,120.96,49230680
118.47,119.07,117.43,117.84,54415932
114.43,117.16,114.41,116.99,57447305
118.85,120.33,118.37,120.27,44821031
119.59,120.93,118.77,119.02,50782957
117.68,118.1,115.28,115.86,71945536
114.49,116.76,114.05,116.66,64719715
117.08,118.18,116.22,117.58,58712643
118.32,120.8,116.72,119.36,66294135
120.55,121.47,119.57,121.47,66196390
121.31,121.97,120.33,121.58,56247212
119.56,120.93,118.72,120.31,47651461
120.83,121.99,120.01,120.17,46846428
120.26,120.59,116.44,116.51,74321850
113.28,114.21,111.3,112.8,96017495
112.16,114.16,112.02,113.54,64624239
114.64,116.4,112.98,116.25,58993835
118.53,119.56,116.84,117.6,69465586
117.83,118.48,114.97,115.16,59746767
117.12,117.63,113.94,116.02,65282987
114.45,115.44,113.07,113.17,59865530
112.5,113.95,109.82,109.93,73743732
108.43,112.58,107.43,112.13,95735838
112.59,114.72,111.58,114.5,65015723
114.35,116.66,113.51,116.51,55805613
117.16,117.24,115.06,115.75,76608699
117.72,119.63,117.67,119.59,48106568
118.85,120.03,118.75,119.68,38618931
120.6,122.13,120.33,120.67,56817480
120.03,120.87,119.12,120.47,44956240
121.86,122.6,121.23,122.56,43756387
121.99,122.06,119.93,120.24,43306475
120.08,123.5,119.2,122.61,66897430
122.33,123.08,120.72,121.14,44676650
121.36,122.09,119.82,121.69,58232571
123.07,124.12,122.72,123.91,54726464
124.14,125.79,124.06,125.49,40550810
124.93,124.94,122.78,123.08,55330266
124.35,124.77,122.21,124.33,62984557
127.7,129.41,126.61,127.43,84203637
127.98,128.85,127.8,128.68,39809147
127.23,127.26,125.32,125.45,43967241
122.0,123.5,121.52,122.08,92917571
123.88,124.4,122.8,123.99,53303725
125.31,126.5,123.6,126.24,61861885
125.23,125.69,124.02,125.45,44477724
125.43,126.39,124.21,126.28,40221254
126.93,128.02,125.71,127.86,45497628
124.91,125.46,122.87,123.19,71335815
124.8,124.93,123.02,124.32,45816627
125.86,126.99,125.8,126.62,36249442
126.21,126.35,124.92,125.46,29118865
125.12,126.75,124.72,126.12,36056725
124.81,126.33,123.9,124.05,49588936
123.84,124.15,121.24,122.18,63908830
122.46,122.75,121.47,121.99,44737467
120.21,120.34,118.66,119.62,43463571
119.39,120.1,118.53,119.19,43397130
,,,116.56,0
116.38,117.7,116.2,116.2,21312446
119.53,120.18,118.82,119.7,42828544
120.09,121.0,119.61,120.08,41177514
123.5,125.22,123.22,125.11,61994264
124.85,125.64,124.43,124.98,33494814
126.14,126.5,124.78,124.86,47029127
126.8,127.18,125.45,126.21,48955606
126.17,127.11,125.76,126.26,27218979
125.84,127.26,124.97,126.75,47462667
125.88,126.18,123.65,123.98,51039070
124.52,126.37,124.41,126.03,37323724
124.91,124.97,123.18,124.24,40152712
124.9,125.57,122.45,123.11,45766318
122.59,123.03,121.47,121.71,45840916
123.12,123.19,121.99,122.15,34056875
122.21,122.94,121.3,121.57,43484888
122.06,122.32,120.03,120.32,39577182
122.23,124.13,122.19,123.88,35741385
123.94,124.36,122.75,124.17,33792020
124.64,125.39,124.36,125.33,22327643
,,,126.39,0
126.15,126.82,126.06,126.49,19008321
126.53,126.53,124.73,124.92,30203033
125.21,126.25,125.18,126.1,25251416
,,,125.5,0
127.75,128.38,127.44,127.49,38379801
127.18,127.81,126.72,127.63,23665645
127.01,128.23,126.43,128.1,36485767
128.22,128.22,127.29,127.82,29421959
128.04,128.18,127.41,127.99,21150934
129.37,129.65,128.95,129.13,22465952
128.75,129.37,128.52,129.25,22722523
129.54,129.7,128.54,129.51,24534387
,,,129.01,0
130.1,130.32,129.06,129.31,27054142
129.35,130.84,129.08,130.8,33849548
131.24,131.57,130.8,131.48,27306784
131.23,131.95,130.92,131.95,33001013
131.5,132.25,130.98,131.58,26266200
130.77,131.5,130.6,131.46,21699820
131.24,132.87,130.75,132.57,35297847
133.15,133.39,131.37,131.9,33989406
131.15,132.05,131.15,131.73,30387256
130.5,131.44,130.06,131.38,29046766
132.02,132.18,130.68,131.21,31281903
132.31,133.13,132.13,132.47,29482697
134.03,134.62,133.78,134.57,38609038
133.99,134.5,133.83,134.46,18115703
134.2,135.02,133.64,134.79,23369501
134.88,135.22,134.31,135.19,22946408
135.39,135.58,134.57,135.34,26341805
134.14,134.47,133.84,134.43,33937762
135.29,135.52,134.75,135.36,20073035
134.99,135.27,134.26,135.19,34055136
135.64,135.83,134.29,134.54,40981041
134.56,136.17,134.34,136.04,34554564
136.52,136.57,135.97,136.41,24787990
136.75,137.05,136.05,136.46,27823950
136.2,136.55,135.8,136.02,22792730
135.95,136.73,135.5,136.61,28314475
136.95,137.2,136.64,136.93,19761191
136.04,137.53,135.8,137.16,28201726
137.19,137.65,136.93,137.56,27234370
137.73,138.19,136.73,136.87,37831484
137.32,137.99,137.12,137.77,27315142
137.63,137.82,137.0,137.32,18641857
137.05,137.19,136.29,136.75,29631897
135.29,135.43,134.36,134.67,38700523
135.06,135.91,134.93,135.69,28884438
136.5,137.32,136.24,137.02,24212228
137.36,137.93,137.13,137.57,23345469
137.56,137.76,137.09,137.58,19686388
138.38,140.12,138.09,140.06,35995873
140.07,140.44,139.48,139.91,25253574
140.12,140.78,139.76,140.72,29861808
140.32,140.48,140.01,140.27,26662498
140.2,141.28,140.11,140.88,21437422
140.05,140.61,139.64,140.41,21356955
140.46,140.65,139.92,140.16,20762910
139.17,139.55,138.74,139.16,24811911
139.37,139.81,138.55,139.69,24302310
140.62,141.61,140.6,141.61,21423562
141.74,141.83,141.08,141.13,23259684
141.09,141.32,139.64,140.43,33007360
139.62,140.42,139.09,140.22,31325903
140.91,141.05,140.06,140.72,25331338
140.64,142.21,140.37,141.79,26897090
141.6,141.87,140.43,141.26,25222416
140.17,140.33,139.35,139.84,28333540
139.4,140.2,139.26,139.78,31771438
137.94,138.78,137.84,138.23,26399657
137.94,138.34,135.77,135.84,46730989
137.33,137.54,136.75,136.9,27795033
137.13,138.9,137.03,138.85,31448270
138.46,138.48,137.01,137.13,35521360
137.83,138.04,136.58,136.93,30917026
137.86,139.36,137.7,139.09,28609152
138.49,139.08,138.38,138.59,22762172
138.6,139.14,137.07,137.75,40417422
138.24,138.83,137.89,137.95,24761330
136.55,136.91,135.94,136.79,34608573
136.87,137.65,136.8,137.31,31526611
138.56,139.24,138.53,139.24,30557059
138.91,140.32,138.81,140.17,30538890
140.56,140.78,139.8,140.42,25113818
140.13,140.21,139.5,139.77,27379648
139.81,141.66,139.63,140.74,24252370
139.93,140.46,139.47,140.28,26238380
140.4,140.45,139.0,139.25,29832558
138.52,138.66,136.92,136.96,34277304
136.48,137.55,136.46,137.1,25327785
136.31,136.77,134.93,136.5,37323139
135.1,136.61,134.49,135.74,42745341
136.75,136.85,135.71,135.95,30797868
135.16,136.86,135.11,135.56,32950628
134.32,135.03,133.91,134.13,30792744
134.05,134.8,133.13,133.35,37874871
133.92,134.54,132.81,132.88,41923924
132.88,133.02,130.81,130.87,44247336
131.4,131.6,129.56,129.74,56712718
130.14,132.02,129.95,132.02,37132290
132.34,133.23,131.35,132.2,33133055
131.26,132.46,129.99,132.27,38850121
132.67,132.84,131.42,132.53,31309748
132.48,132.85,131.78,132.1,28450945
133.16,133.92,132.75,133.7,32727593
132.59,132.62,131.49,131.73,34242987
131.71,132.45,130.34,131.49,38875284
129.41,129.85,128.16,128.16,52417135
128.44,128.74,127.14,128.1,45803224
127.88,129.26,127.79,129.03,30729646
129.98,132.03,129.93,132.02,36871391
133.49,133.53,131.79,132.05,37602721
131.72,133.12,131.29,133.12,28716688
134.19,134.25,131.28,131.45,34625482
131.8,133.01,131.16,133.01,33235935
